char,pinyin,division,code
侒,an1,亻宀女,TWCv
侒,an3,亻宀女,TWCv
侓,lu4,亻⺕キ,TBFu
侔,mou2,亻厶牛,TAPn
侕,er2,亻而,TGe
侖,lun2,人一𠕁,UGMu
侗,dong4,亻冂一口,TMGO
侗,tong2,亻冂一口,TMGO
侘,cha4,亻宀㇒七,TWPF
侙,chi1,亻弋工,TFIg
侚,xun4,亻勹日,TSKv
供,gong1,亻龷八,THTu
供,gong4,亻龷八,THTu
侜,zhou1,亻舟,TRo
依,yi1,亻衣,TWy
侞,ru2,亻女口,TCOv
侟,cun2,亻𠂇⼁子,THKB
侟,jian4,亻𠂇⼁子,THKB
侠,xia2,亻夫丷,TJXu
価,jia4,亻覀,TEx
侢,zai4,亻王冂,TEMu
侣,lv3,亻口口,TOOv
侤,ta5,亻耂丂,TJEk
侥,jiao3,亻七㇒兀,TFPG
侦,zhen1,亻⺊贝,TLMb
侧,ce4,亻贝刂,TMLd
侨,qiao2,亻夭{介下},TRTu
侩,kuai4,亻人二厶,TUEA
侪,chai2,亻文{介下},TYTu
侫,ning4,亻亠𠃊女,TYCC
侬,nong2,亻冖𧘇,TQRu
侭,jin3,亻尸㇏⺀,TDWZ
侮,wu3,亻𠂉母,TPCm
侯,hou2,亻コ矢,TDPi
侰,jiong3,亻⺕丿口,TBPO
侱,cheng3,亻口王,TOEv
侱,ting3,亻口王,TOEv
侲,chen1,亻辰,TGn
侲,zhen1,亻辰,TGn
侲,zhen4,亻辰,TGn
侳,zuo4,亻人人土,TUUJ
侴,chou3,人一コ十刂,UGEL
侵,qin1,亻⺕冖又,TBQD
侶,lv3,亻口{囟框},TOUu
侷,ju2,亻尸𠃌口,TDBO
侸,dou1,亻一口䒑,TGOX
侸,shu4,亻一口䒑,TGOX
侹,ting3,亻𡈼廴,TRBd
侺,shen4,亻山𠆢丶乛,TMWB
侻,tui4,亻丷口儿,TXOV
侻,tuo1,亻丷口儿,TXOV
侼,bo2,亻十冖子,TEQB
侽,nan2,亻田力,TKCl
侾,xiao1,亻耂子,TJBz
便,bian4,亻一日乂,TGKT
便,pian2,亻一日乂,TGKT
俀,tui3,亻爫女,TVCv
俁,yu3,亻口𠃑大,TOCF
係,xi4,亻㇒糸,TPAv
促,cu4,亻口龰,TOLu
俄,e2,亻㇒扌戈,TPFF
俅,qiu2,亻一氺丶,TGAW
俆,shu1,亻𠆢一朩,TUGI
俆,xu2,亻𠆢一朩,TUGI
俇,guang4,亻犭王,TVEv
俈,ku4,亻𠂒口,TPOv
俉,wu2,亻一{五下}口,TGDO
俊,jun4,亻厶八夊,TATV
俋,yi4,亻口巴,TODb
俌,fu3,亻甫,TEf
俍,lang3,亻丶艮,TWBg
俍,liang2,亻丶艮,TWBg
俎,zu3,人人且,UUNq
俏,qiao4,亻⺌⺝,TNSv
俐,li4,亻禾刂,TRLd
俑,yong3,亻龴用,TDSy
俒,hun4,亻宀一兀,TWGG
俓,jing4,亻一巛工,TGCI
俔,xian4,亻見,TNj
俕,san4,亻宀木,TWIv
俖,pei3,亻不口,TGOv
俗,su2,亻八𠆢口,TTUO
俘,fu2,亻爫子,TVBz
俙,xi1,亻㐅𠂇巾,TTHM
俚,li3,亻甲二,TKEe
俛,mian3,亻⺈口儿,TQOV
俜,ping1,亻由丂,TKEk
保,bao3,亻口木,TOIv
俞,yu2,人一⺝刂,UGSL
俟,si4,亻厶矢,TAPi
俠,xia2,亻大人人,TFUU
信,xin4,亻言,TYv
俢,xiu1,亻夂彡,TVSs
俣,yu3,亻口一大,TOGF
俤,di4,亻丷弓丨㇒,TXKP
俥,che1,亻車,TJc
俥,ju1,亻車,TJc
俦,chou2,亻丰寸,TIIc
俧,zhi4,亻士心,TJRx
俨,yan3,亻丌䒑⼃,THXP
俩,lia3,亻一冂人人,TGUU
俪,li4,亻一冂⺀冂,TGZM
俫,lai2,亻一米,TGXm
俬,si1,亻禾厶,TRAi
俭,jian3,亻人二⺍,TUEZ
修,xiu1,亻丨夂彡,TKVS
俯,fu3,亻广亻寸,TWTI
俰,huo4,亻禾口,TROv
俱,ju4,亻{具上}八,TNTu
俲,xiao4,亻亠八乂力,TYTC
俳,pai2,亻非,TLf
俴,jian4,亻戈戈,TFFg
俵,biao3,亻龶𧘇,TERu
俶,chu4,亻上小又,TLCD
俷,fei4,亻月巴,TSDb
俸,feng4,亻一夫キ,TGJF
俹,ya1,亻一{亞下},TGNu
俹,ya4,亻一{亞下},TGNu
俺,an3,亻大电,TFKd
俻,bei4,亻夂田,TVKt
俼,yu4,亻亠厶⺝,TYAS
俽,xin1,亻𠂆丅欠,TRJQ
俾,bi3,亻白千,TURq
俿,chi2,亻虍几,TLQj
俿,hu3,亻虍几,TLQj
倀,chang1,亻長,TEz
倁,zhi1,亻矢口,TPOv
倂,bing4,亻㇒干㇒干,TPPE
倃,jiu4,亻夂卜口,TVLO
倄,yao2,亻㐅𠂇⺝,TTHS
倅,cui4,亻亠人人十,TYUE
倆,lia3,亻一巾入入,TGVV
倇,wan3,亻宀夕㔾,TWQB
倈,lai2,亻來,TIl
倈,lai4,亻來,TIl
倈,lie1,亻來,TIl
